L 64 T 3.637000
spin_corr:
x 0 value 1000.000000
x 1 value 661.750000
x 2 value 562.937500
x 3 value 508.062500
x 4 value 479.750000
x 5 value 454.250000
x 6 value 436.437500
x 7 value 421.500000
x 8 value 409.312500
x 9 value 405.187500
x 10 value 391.937500
x 11 value 385.875000
x 12 value 373.687500
x 13 value 377.125000
x 14 value 373.000000
x 15 value 372.062500
x 16 value 367.625000
x 17 value 363.625000
x 18 value 360.750000
x 19 value 360.187500
x 20 value 361.687500
x 21 value 359.937500
x 22 value 356.625000
x 23 value 354.500000
x 24 value 361.000000
x 25 value 356.062500
x 26 value 352.000000
x 27 value 347.500000
x 28 value 352.000000
x 29 value 355.000000
x 30 value 349.437500
x 31 value 353.250000
x 32 value 347.812500
x 33 value 353.250000
x 34 value 349.437500
x 35 value 355.000000
x 36 value 352.000000
x 37 value 347.500000
x 38 value 352.000000
x 39 value 356.062500
x 40 value 361.000000
x 41 value 354.500000
x 42 value 356.625000
x 43 value 359.937500
x 44 value 361.687500
x 45 value 360.187500
x 46 value 360.750000
x 47 value 363.625000
x 48 value 367.625000
x 49 value 372.062500
x 50 value 373.000000
x 51 value 377.125000
x 52 value 373.687500
x 53 value 385.875000
x 54 value 391.937500
x 55 value 405.187500
x 56 value 409.312500
x 57 value 421.500000
x 58 value 436.437500
x 59 value 454.250000
x 60 value 479.750000
x 61 value 508.062500
x 62 value 562.937500
x 63 value 661.750000
