L 96 T 3.639000
spin_corr:
x 0 value 1000.000000
x 1 value 668.458333
x 2 value 567.541667
x 3 value 517.208333
x 4 value 483.208333
x 5 value 454.458333
x 6 value 431.916667
x 7 value 414.083333
x 8 value 400.333333
x 9 value 391.791667
x 10 value 386.791667
x 11 value 378.958333
x 12 value 375.708333
x 13 value 372.833333
x 14 value 362.375000
x 15 value 357.625000
x 16 value 355.916667
x 17 value 348.625000
x 18 value 352.958333
x 19 value 342.375000
x 20 value 342.458333
x 21 value 347.458333
x 22 value 341.833333
x 23 value 333.250000
x 24 value 337.416667
x 25 value 334.958333
x 26 value 327.750000
x 27 value 325.916667
x 28 value 327.166667
x 29 value 329.291667
x 30 value 326.583333
x 31 value 328.875000
x 32 value 327.000000
x 33 value 326.791667
x 34 value 329.833333
x 35 value 335.416667
x 36 value 332.500000
x 37 value 329.000000
x 38 value 324.958333
x 39 value 322.000000
x 40 value 321.375000
x 41 value 316.166667
x 42 value 318.833333
x 43 value 321.375000
x 44 value 320.708333
x 45 value 324.416667
x 46 value 322.041667
x 47 value 323.833333
x 48 value 321.333333
x 49 value 323.833333
x 50 value 322.041667
x 51 value 324.416667
x 52 value 320.708333
x 53 value 321.375000
x 54 value 318.833333
x 55 value 316.166667
x 56 value 321.375000
x 57 value 322.000000
x 58 value 324.958333
x 59 value 329.000000
x 60 value 332.500000
x 61 value 335.416667
x 62 value 329.833333
x 63 value 326.791667
x 64 value 327.000000
x 65 value 328.875000
x 66 value 326.583333
x 67 value 329.291667
x 68 value 327.166667
x 69 value 325.916667
x 70 value 327.750000
x 71 value 334.958333
x 72 value 337.416667
x 73 value 333.250000
x 74 value 341.833333
x 75 value 347.458333
x 76 value 342.458333
x 77 value 342.375000
x 78 value 352.958333
x 79 value 348.625000
x 80 value 355.916667
x 81 value 357.625000
x 82 value 362.375000
x 83 value 372.833333
x 84 value 375.708333
x 85 value 378.958333
x 86 value 386.791667
x 87 value 391.791667
x 88 value 400.333333
x 89 value 414.083333
x 90 value 431.916667
x 91 value 454.458333
x 92 value 483.208333
x 93 value 517.208333
x 94 value 567.541667
x 95 value 668.458333
