L 48 T 3.652000
spin_corr:
x 0 value 1000.000000
x 1 value 649.000000
x 2 value 550.333333
x 3 value 507.416667
x 4 value 472.083333
x 5 value 455.166667
x 6 value 433.000000
x 7 value 425.666667
x 8 value 412.916667
x 9 value 405.416667
x 10 value 392.750000
x 11 value 374.833333
x 12 value 372.666667
x 13 value 372.416667
x 14 value 368.666667
x 15 value 355.333333
x 16 value 349.916667
x 17 value 358.083333
x 18 value 353.666667
x 19 value 352.416667
x 20 value 352.250000
x 21 value 349.083333
x 22 value 349.666667
x 23 value 350.750000
x 24 value 347.166667
x 25 value 350.750000
x 26 value 349.666667
x 27 value 349.083333
x 28 value 352.250000
x 29 value 352.416667
x 30 value 353.666667
x 31 value 358.083333
x 32 value 349.916667
x 33 value 355.333333
x 34 value 368.666667
x 35 value 372.416667
x 36 value 372.666667
x 37 value 374.833333
x 38 value 392.750000
x 39 value 405.416667
x 40 value 412.916667
x 41 value 425.666667
x 42 value 433.000000
x 43 value 455.166667
x 44 value 472.083333
x 45 value 507.416667
x 46 value 550.333333
x 47 value 649.000000
