L 96 T 3.750000
spin_corr:
x 0 value 1000.000000
x 1 value 591.291667
x 2 value 441.041667
x 3 value 328.250000
x 4 value 277.208333
x 5 value 247.208333
x 6 value 219.833333
x 7 value 198.041667
x 8 value 172.791667
x 9 value 154.625000
x 10 value 141.791667
x 11 value 153.291667
x 12 value 143.458333
x 13 value 121.750000
x 14 value 82.333333
x 15 value 64.000000
x 16 value 41.000000
x 17 value 21.708333
x 18 value 29.375000
x 19 value 17.083333
x 20 value 34.666667
x 21 value 32.125000
x 22 value 30.208333
x 23 value 35.333333
x 24 value 37.208333
x 25 value 34.166667
x 26 value 39.208333
x 27 value 24.833333
x 28 value 4.125000
x 29 value 6.291667
x 30 value -2.000000
x 31 value 13.208333
x 32 value 21.333333
x 33 value 21.625000
x 34 value 29.125000
x 35 value 24.000000
x 36 value 24.708333
x 37 value 22.291667
x 38 value 36.833333
x 39 value 12.750000
x 40 value 19.333333
x 41 value 13.333333
x 42 value 9.250000
x 43 value 11.666667
x 44 value 30.166667
x 45 value 26.208333
x 46 value 30.333333
x 47 value 23.875000
x 48 value 20.291667
x 49 value 23.875000
x 50 value 30.333333
x 51 value 26.208333
x 52 value 30.166667
x 53 value 11.666667
x 54 value 9.250000
x 55 value 13.333333
x 56 value 19.333333
x 57 value 12.750000
x 58 value 36.833333
x 59 value 22.291667
x 60 value 24.708333
x 61 value 24.000000
x 62 value 29.125000
x 63 value 21.625000
x 64 value 21.333333
x 65 value 13.208333
x 66 value -2.000000
x 67 value 6.291667
x 68 value 4.125000
x 69 value 24.833333
x 70 value 39.208333
x 71 value 34.166667
x 72 value 37.208333
x 73 value 35.333333
x 74 value 30.208333
x 75 value 32.125000
x 76 value 34.666667
x 77 value 17.083333
x 78 value 29.375000
x 79 value 21.708333
x 80 value 41.000000
x 81 value 64.000000
x 82 value 82.333333
x 83 value 121.750000
x 84 value 143.458333
x 85 value 153.291667
x 86 value 141.791667
x 87 value 154.625000
x 88 value 172.791667
x 89 value 198.041667
x 90 value 219.833333
x 91 value 247.208333
x 92 value 277.208333
x 93 value 328.250000
x 94 value 441.041667
x 95 value 591.291667
