L 48 T 3.440000
spin_corr:
x 0 value 91.818182
x 1 value 71.292675
x 2 value 66.679017
x 3 value 64.911311
x 4 value 64.098377
x 5 value 63.715621
x 6 value 63.541967
x 7 value 63.367792
x 8 value 63.215765
x 9 value 63.151375
x 10 value 63.152552
x 11 value 63.049370
x 12 value 63.104433
x 13 value 63.039637
x 14 value 62.974992
x 15 value 62.962902
x 16 value 63.012344
x 17 value 63.089419
x 18 value 63.076480
x 19 value 63.022606
x 20 value 63.036240
x 21 value 63.119827
x 22 value 63.059598
x 23 value 63.112372
x 24 value 63.072849
x 25 value 63.113226
x 26 value 63.060068
x 27 value 63.120224
x 28 value 63.036619
x 29 value 63.023040
x 30 value 63.076872
x 31 value 63.089244
x 32 value 63.012527
x 33 value 62.962531
x 34 value 62.974497
x 35 value 63.039601
x 36 value 63.104182
x 37 value 63.049651
x 38 value 63.152356
x 39 value 63.150986
x 40 value 63.215679
x 41 value 63.368042
x 42 value 63.541960
x 43 value 63.716123
x 44 value 64.098783
x 45 value 64.911220
x 46 value 66.678849
x 47 value 71.292699
