L 48 T 3.460000
spin_corr:
x 0 value 1000.000000
x 1 value 773.916667
x 2 value 724.250000
x 3 value 705.666667
x 4 value 695.000000
x 5 value 688.416667
x 6 value 686.750000
x 7 value 687.333333
x 8 value 683.416667
x 9 value 682.833333
x 10 value 683.500000
x 11 value 683.333333
x 12 value 681.750000
x 13 value 678.166667
x 14 value 678.333333
x 15 value 676.083333
x 16 value 678.333333
x 17 value 678.583333
x 18 value 680.333333
x 19 value 678.333333
x 20 value 681.500000
x 21 value 680.916667
x 22 value 681.083333
x 23 value 681.250000
x 24 value 680.833333
x 25 value 681.250000
x 26 value 681.083333
x 27 value 680.916667
x 28 value 681.500000
x 29 value 678.333333
x 30 value 680.333333
x 31 value 678.583333
x 32 value 678.333333
x 33 value 676.083333
x 34 value 678.333333
x 35 value 678.166667
x 36 value 681.750000
x 37 value 683.333333
x 38 value 683.500000
x 39 value 682.833333
x 40 value 683.416667
x 41 value 687.333333
x 42 value 686.750000
x 43 value 688.416667
x 44 value 695.000000
x 45 value 705.666667
x 46 value 724.250000
x 47 value 773.916667
