L 128 T 3.620000
spin_corr:
x 0 value 91.818182
x 1 value 62.653807
x 2 value 54.263488
x 3 value 49.937869
x 4 value 47.349720
x 5 value 45.589030
x 6 value 44.223433
x 7 value 43.165877
x 8 value 42.375345
x 9 value 41.715053
x 10 value 41.187232
x 11 value 40.705314
x 12 value 40.299518
x 13 value 39.944388
x 14 value 39.624200
x 15 value 39.264895
x 16 value 38.989664
x 17 value 38.763696
x 18 value 38.678340
x 19 value 38.482442
x 20 value 38.407931
x 21 value 38.351714
x 22 value 38.172130
x 23 value 37.867630
x 24 value 37.901830
x 25 value 37.729925
x 26 value 37.545633
x 27 value 37.595048
x 28 value 37.541734
x 29 value 37.482944
x 30 value 37.365923
x 31 value 37.344208
x 32 value 37.348794
x 33 value 37.335556
x 34 value 37.303727
x 35 value 37.225074
x 36 value 37.198442
x 37 value 37.203044
x 38 value 37.194022
x 39 value 37.239594
x 40 value 37.190255
x 41 value 37.161561
x 42 value 37.120161
x 43 value 37.059988
x 44 value 36.959278
x 45 value 36.897411
x 46 value 36.901461
x 47 value 36.939134
x 48 value 36.907084
x 49 value 36.967063
x 50 value 36.886325
x 51 value 36.890496
x 52 value 36.908681
x 53 value 36.913888
x 54 value 36.870344
x 55 value 36.904384
x 56 value 36.867839
x 57 value 36.823066
x 58 value 36.934785
x 59 value 36.796704
x 60 value 36.768147
x 61 value 36.921390
x 62 value 36.932030
x 63 value 36.956765
x 64 value 36.957942
x 65 value 36.956692
x 66 value 36.931914
x 67 value 36.921259
x 68 value 36.768419
x 69 value 36.796685
x 70 value 36.934673
x 71 value 36.822812
x 72 value 36.867683
x 73 value 36.904023
x 74 value 36.870414
x 75 value 36.913799
x 76 value 36.909079
x 77 value 36.890116
x 78 value 36.886650
x 79 value 36.967108
x 80 value 36.907546
x 81 value 36.939064
x 82 value 36.900943
x 83 value 36.897759
x 84 value 36.959147
x 85 value 37.060189
x 86 value 37.120545
x 87 value 37.161322
x 88 value 37.190295
x 89 value 37.238913
x 90 value 37.193970
x 91 value 37.202735
x 92 value 37.198779
x 93 value 37.224957
x 94 value 37.304171
x 95 value 37.335369
x 96 value 37.348858
x 97 value 37.344139
x 98 value 37.365750
x 99 value 37.483153
x 100 value 37.541323
x 101 value 37.595297
x 102 value 37.545775
x 103 value 37.730095
x 104 value 37.902178
x 105 value 37.867351
x 106 value 38.171596
x 107 value 38.351716
x 108 value 38.407225
x 109 value 38.482038
x 110 value 38.678771
x 111 value 38.763941
x 112 value 38.989710
x 113 value 39.264944
x 114 value 39.624197
x 115 value 39.944330
x 116 value 40.299626
x 117 value 40.705466
x 118 value 41.187260
x 119 value 41.715145
x 120 value 42.375423
x 121 value 43.165514
x 122 value 44.223665
x 123 value 45.589091
x 124 value 47.349988
x 125 value 49.937914
x 126 value 54.264057
x 127 value 62.653123
