L 32 T 3.650000
spin_corr:
x 0 value 91.818182
x 1 value 61.473053
x 2 value 51.975659
x 3 value 47.371017
x 4 value 44.389555
x 5 value 42.377891
x 6 value 40.939226
x 7 value 39.643898
x 8 value 38.880424
x 9 value 38.331299
x 10 value 37.993958
x 11 value 37.387424
x 12 value 37.122174
x 13 value 37.073695
x 14 value 36.923783
x 15 value 36.771258
x 16 value 36.680149
x 17 value 36.770653
x 18 value 36.923811
x 19 value 37.073188
x 20 value 37.121690
x 21 value 37.387149
x 22 value 37.993638
x 23 value 38.330325
x 24 value 38.880158
x 25 value 39.644176
x 26 value 40.939365
x 27 value 42.379087
x 28 value 44.389328
x 29 value 47.371009
x 30 value 51.975216
x 31 value 61.472824
