L 48 T 3.400000
spin_corr:
x 0 value 91.818182
x 1 value 72.411710
x 2 value 68.301988
x 3 value 66.831390
x 4 value 66.125683
x 5 value 65.831112
x 6 value 65.647730
x 7 value 65.492079
x 8 value 65.466532
x 9 value 65.466106
x 10 value 65.512966
x 11 value 65.411808
x 12 value 65.403635
x 13 value 65.444625
x 14 value 65.300290
x 15 value 65.387035
x 16 value 65.444464
x 17 value 65.410987
x 18 value 65.402016
x 19 value 65.402025
x 20 value 65.320448
x 21 value 65.375833
x 22 value 65.382333
x 23 value 65.407305
x 24 value 65.356248
x 25 value 65.407254
x 26 value 65.382532
x 27 value 65.375562
x 28 value 65.320862
x 29 value 65.402116
x 30 value 65.401397
x 31 value 65.410712
x 32 value 65.444544
x 33 value 65.387189
x 34 value 65.300031
x 35 value 65.444812
x 36 value 65.403147
x 37 value 65.411439
x 38 value 65.512501
x 39 value 65.465819
x 40 value 65.466442
x 41 value 65.492831
x 42 value 65.647572
x 43 value 65.830950
x 44 value 66.125216
x 45 value 66.831611
x 46 value 68.302296
x 47 value 72.411672
