L 24 T 3.750000
spin_corr:
x 0 value 91.818182
x 1 value 55.889798
x 2 value 44.487178
x 3 value 38.478473
x 4 value 34.400332
x 5 value 31.456104
x 6 value 29.312128
x 7 value 27.824974
x 8 value 26.923258
x 9 value 26.224133
x 10 value 25.514292
x 11 value 25.140122
x 12 value 24.755024
x 13 value 25.138764
x 14 value 25.514885
x 15 value 26.223811
x 16 value 26.924657
x 17 value 27.825167
x 18 value 29.312042
x 19 value 31.456792
x 20 value 34.401614
x 21 value 38.478990
x 22 value 44.487565
x 23 value 55.890442
