L 256 T 2.271000
spin_corr:
x 0 value 1000.000000
x 1 value 704.581250
x 2 value 590.857813
x 3 value 530.943750
x 4 value 491.592188
x 5 value 464.110937
x 6 value 443.800000
x 7 value 426.581250
x 8 value 412.601562
x 9 value 399.254687
x 10 value 387.684375
x 11 value 377.809375
x 12 value 369.606250
x 13 value 361.981250
x 14 value 355.696875
x 15 value 348.221875
x 16 value 343.082812
x 17 value 337.135938
x 18 value 331.453125
x 19 value 326.554688
x 20 value 322.717188
x 21 value 318.540625
x 22 value 313.748438
x 23 value 311.198438
x 24 value 309.254687
x 25 value 306.478125
x 26 value 303.520312
x 27 value 299.668750
x 28 value 297.423437
x 29 value 295.135938
x 30 value 291.926562
x 31 value 289.498438
x 32 value 287.198438
x 33 value 284.912500
x 34 value 282.576563
x 35 value 279.525000
x 36 value 276.939062
x 37 value 275.343750
x 38 value 273.635938
x 39 value 273.275000
x 40 value 272.035937
x 41 value 271.164062
x 42 value 269.895312
x 43 value 267.879687
x 44 value 265.740625
x 45 value 264.581250
x 46 value 263.937500
x 47 value 262.881250
x 48 value 261.585938
x 49 value 261.362500
x 50 value 259.281250
x 51 value 258.010938
x 52 value 256.668750
x 53 value 256.020312
x 54 value 254.717187
x 55 value 253.235938
x 56 value 252.146875
x 57 value 251.132812
x 58 value 250.670312
x 59 value 249.512500
x 60 value 248.090625
x 61 value 246.568750
x 62 value 245.003125
x 63 value 244.837500
x 64 value 244.296875
x 65 value 243.568750
x 66 value 242.195312
x 67 value 241.717187
x 68 value 240.920312
x 69 value 240.146875
x 70 value 239.706250
x 71 value 238.821875
x 72 value 239.548438
x 73 value 238.842187
x 74 value 239.693750
x 75 value 238.632812
x 76 value 238.192187
x 77 value 236.832812
x 78 value 235.796875
x 79 value 235.840625
x 80 value 236.295312
x 81 value 233.773438
x 82 value 232.939063
x 83 value 231.614062
x 84 value 232.117188
x 85 value 232.151563
x 86 value 231.781250
x 87 value 231.810937
x 88 value 232.412500
x 89 value 233.325000
x 90 value 233.093750
x 91 value 233.087500
x 92 value 231.793750
x 93 value 230.895312
x 94 value 230.518750
x 95 value 231.126563
x 96 value 231.879687
x 97 value 231.159375
x 98 value 230.003125
x 99 value 229.582812
x 100 value 229.389062
x 101 value 228.640625
x 102 value 229.034375
x 103 value 229.664062
x 104 value 228.948438
x 105 value 228.712500
x 106 value 228.606250
x 107 value 227.493750
x 108 value 227.554688
x 109 value 227.121875
x 110 value 226.623437
x 111 value 226.398438
x 112 value 225.075000
x 113 value 224.584375
x 114 value 223.912500
x 115 value 223.820312
x 116 value 224.407813
x 117 value 224.993750
x 118 value 224.726562
