L 48 T 3.641000
spin_corr:
x 0 value 1000.000000
x 1 value 656.083333
x 2 value 557.583333
x 3 value 507.500000
x 4 value 467.500000
x 5 value 435.750000
x 6 value 423.583333
x 7 value 411.000000
x 8 value 397.083333
x 9 value 390.666667
x 10 value 390.750000
x 11 value 377.000000
x 12 value 376.666667
x 13 value 366.750000
x 14 value 368.500000
x 15 value 356.666667
x 16 value 363.750000
x 17 value 354.916667
x 18 value 354.833333
x 19 value 356.833333
x 20 value 359.750000
x 21 value 357.083333
x 22 value 358.416667
x 23 value 359.166667
x 24 value 355.000000
x 25 value 359.166667
x 26 value 358.416667
x 27 value 357.083333
x 28 value 359.750000
x 29 value 356.833333
x 30 value 354.833333
x 31 value 354.916667
x 32 value 363.750000
x 33 value 356.666667
x 34 value 368.500000
x 35 value 366.750000
x 36 value 376.666667
x 37 value 377.000000
x 38 value 390.750000
x 39 value 390.666667
x 40 value 397.083333
x 41 value 411.000000
x 42 value 423.583333
x 43 value 435.750000
x 44 value 467.500000
x 45 value 507.500000
x 46 value 557.583333
x 47 value 656.083333
