L 24 T 3.635000
spin_corr:
x 0 value 1000.000000
x 1 value 673.833333
x 2 value 576.333333
x 3 value 535.000000
x 4 value 505.333333
x 5 value 484.666667
x 6 value 470.666667
x 7 value 458.833333
x 8 value 456.666667
x 9 value 454.833333
x 10 value 441.000000
x 11 value 434.333333
x 12 value 434.166667
x 13 value 434.333333
x 14 value 441.000000
x 15 value 454.833333
x 16 value 456.666667
x 17 value 458.833333
x 18 value 470.666667
x 19 value 484.666667
x 20 value 505.333333
x 21 value 535.000000
x 22 value 576.333333
x 23 value 673.833333
