L 96 T 3.642000
spin_corr:
x 0 value 91.818182
x 1 value 60.947697
x 2 value 51.284338
x 3 value 46.559917
x 4 value 43.558534
x 5 value 41.172939
x 6 value 39.768529
x 7 value 38.352568
x 8 value 37.236205
x 9 value 36.280840
x 10 value 35.447383
x 11 value 34.788777
x 12 value 34.079275
x 13 value 33.462667
x 14 value 32.791558
x 15 value 32.146281
x 16 value 31.729743
x 17 value 31.463984
x 18 value 31.080218
x 19 value 30.766460
x 20 value 30.467148
x 21 value 30.302897
x 22 value 30.121724
x 23 value 29.851675
x 24 value 29.691525
x 25 value 29.501353
x 26 value 29.217775
x 27 value 29.342682
x 28 value 29.186889
x 29 value 29.181775
x 30 value 29.091976
x 31 value 28.876289
x 32 value 28.802540
x 33 value 28.684264
x 34 value 28.479014
x 35 value 28.427333
x 36 value 28.392255
x 37 value 28.239110
x 38 value 28.193563
x 39 value 28.069436
x 40 value 28.019590
x 41 value 28.144804
x 42 value 28.011058
x 43 value 28.165482
x 44 value 28.231554
x 45 value 28.093188
x 46 value 28.089766
x 47 value 28.122718
x 48 value 28.041950
x 49 value 28.122243
x 50 value 28.089355
x 51 value 28.093366
x 52 value 28.231704
x 53 value 28.164816
x 54 value 28.010717
x 55 value 28.144801
x 56 value 28.019438
x 57 value 28.069193
x 58 value 28.193868
x 59 value 28.239537
x 60 value 28.391893
x 61 value 28.426876
x 62 value 28.478766
x 63 value 28.685033
x 64 value 28.802827
x 65 value 28.876751
x 66 value 29.092045
x 67 value 29.181341
x 68 value 29.187493
x 69 value 29.342842
x 70 value 29.217759
x 71 value 29.501378
x 72 value 29.691307
x 73 value 29.851492
x 74 value 30.121836
x 75 value 30.303045
x 76 value 30.466799
x 77 value 30.766468
x 78 value 31.080828
x 79 value 31.464265
x 80 value 31.730208
x 81 value 32.146586
x 82 value 32.791033
x 83 value 33.463403
x 84 value 34.079654
x 85 value 34.788765
x 86 value 35.447473
x 87 value 36.279775
x 88 value 37.235758
x 89 value 38.353129
x 90 value 39.768767
x 91 value 41.172809
x 92 value 43.558220
x 93 value 46.559662
x 94 value 51.284787
x 95 value 60.947348
