L 32 T 3.400000
spin_corr:
x 0 value 91.818182
x 1 value 72.643255
x 2 value 68.568092
x 3 value 67.197715
x 4 value 66.566483
x 5 value 66.265576
x 6 value 66.135122
x 7 value 66.024119
x 8 value 65.839566
x 9 value 65.777245
x 10 value 65.694647
x 11 value 65.755703
x 12 value 65.811880
x 13 value 65.789829
x 14 value 65.820182
x 15 value 65.856082
x 16 value 65.750810
x 17 value 65.856017
x 18 value 65.821017
x 19 value 65.789287
x 20 value 65.812358
x 21 value 65.756208
x 22 value 65.694591
x 23 value 65.777304
x 24 value 65.838941
x 25 value 66.023879
x 26 value 66.135265
x 27 value 66.265297
x 28 value 66.566143
x 29 value 67.197629
x 30 value 68.568055
x 31 value 72.643620
