L 32 T 3.800000
spin_corr:
x 0 value 91.818182
x 1 value 53.401563
x 2 value 39.554424
x 3 value 32.612748
x 4 value 27.903580
x 5 value 24.336741
x 6 value 21.381804
x 7 value 19.718751
x 8 value 18.483100
x 9 value 16.615920
x 10 value 15.245050
x 11 value 14.539918
x 12 value 13.791885
x 13 value 13.414099
x 14 value 12.881241
x 15 value 12.756968
x 16 value 13.017594
x 17 value 12.755704
x 18 value 12.880866
x 19 value 13.415438
x 20 value 13.791929
x 21 value 14.540757
x 22 value 15.244659
x 23 value 16.615737
x 24 value 18.483767
x 25 value 19.719793
x 26 value 21.381742
x 27 value 24.336879
x 28 value 27.903708
x 29 value 32.612841
x 30 value 39.554598
x 31 value 53.400769
