L 128 T 3.645000
spin_corr:
x 0 value 1000.000000
x 1 value 655.187500
x 2 value 550.343750
x 3 value 495.812500
x 4 value 463.250000
x 5 value 434.937500
x 6 value 417.593750
x 7 value 397.875000
x 8 value 389.156250
x 9 value 377.875000
x 10 value 366.593750
x 11 value 366.937500
x 12 value 367.531250
x 13 value 361.281250
x 14 value 360.031250
x 15 value 350.625000
x 16 value 348.562500
x 17 value 343.968750
x 18 value 332.406250
x 19 value 329.406250
x 20 value 326.218750
x 21 value 326.062500
x 22 value 323.250000
x 23 value 316.062500
x 24 value 311.343750
x 25 value 312.406250
x 26 value 312.187500
x 27 value 308.593750
x 28 value 306.375000
x 29 value 306.906250
x 30 value 304.156250
x 31 value 303.781250
x 32 value 305.593750
x 33 value 299.937500
x 34 value 303.468750
x 35 value 300.562500
x 36 value 304.875000
x 37 value 304.031250
x 38 value 307.718750
x 39 value 303.062500
x 40 value 302.031250
x 41 value 304.375000
x 42 value 302.125000
x 43 value 304.750000
x 44 value 303.156250
x 45 value 297.156250
x 46 value 294.187500
x 47 value 295.406250
x 48 value 289.781250
x 49 value 288.093750
x 50 value 285.250000
x 51 value 292.812500
x 52 value 288.156250
x 53 value 282.437500
x 54 value 284.000000
x 55 value 286.031250
x 56 value 283.093750
x 57 value 285.187500
x 58 value 291.593750
x 59 value 291.906250
x 60 value 297.656250
x 61 value 296.000000
x 62 value 292.750000
x 63 value 290.687500
x 64 value 295.000000
x 65 value 290.687500
x 66 value 292.750000
x 67 value 296.000000
x 68 value 297.656250
x 69 value 291.906250
x 70 value 291.593750
x 71 value 285.187500
x 72 value 283.093750
x 73 value 286.031250
x 74 value 284.000000
x 75 value 282.437500
x 76 value 288.156250
x 77 value 292.812500
x 78 value 285.250000
x 79 value 288.093750
x 80 value 289.781250
x 81 value 295.406250
x 82 value 294.187500
x 83 value 297.156250
x 84 value 303.156250
x 85 value 304.750000
x 86 value 302.125000
x 87 value 304.375000
x 88 value 302.031250
x 89 value 303.062500
x 90 value 307.718750
x 91 value 304.031250
x 92 value 304.875000
x 93 value 300.562500
x 94 value 303.468750
x 95 value 299.937500
x 96 value 305.593750
x 97 value 303.781250
x 98 value 304.156250
x 99 value 306.906250
x 100 value 306.375000
x 101 value 308.593750
x 102 value 312.187500
x 103 value 312.406250
x 104 value 311.343750
x 105 value 316.062500
x 106 value 323.250000
x 107 value 326.062500
x 108 value 326.218750
x 109 value 329.406250
x 110 value 332.406250
x 111 value 343.968750
x 112 value 348.562500
x 113 value 350.625000
x 114 value 360.031250
x 115 value 361.281250
x 116 value 367.531250
x 117 value 366.937500
x 118 value 366.593750
x 119 value 377.875000
x 120 value 389.156250
x 121 value 397.875000
x 122 value 417.593750
x 123 value 434.937500
x 124 value 463.250000
x 125 value 495.812500
x 126 value 550.343750
x 127 value 655.187500
