L 64 T 3.640000
spin_corr:
x 0 value 91.818182
x 1 value 61.493545
x 2 value 52.330954
x 3 value 47.525806
x 4 value 44.493796
x 5 value 42.642460
x 6 value 40.978294
x 7 value 39.814517
x 8 value 38.781581
x 9 value 37.915225
x 10 value 37.081263
x 11 value 36.461611
x 12 value 35.834159
x 13 value 35.560001
x 14 value 35.017250
x 15 value 34.675921
x 16 value 34.264116
x 17 value 34.038884
x 18 value 33.642148
x 19 value 33.589842
x 20 value 33.376224
x 21 value 33.207827
x 22 value 32.991950
x 23 value 32.952318
x 24 value 32.964260
x 25 value 32.825794
x 26 value 32.635592
x 27 value 32.484279
x 28 value 32.500195
x 29 value 32.524436
x 30 value 32.618062
x 31 value 32.518740
x 32 value 32.562123
x 33 value 32.519544
x 34 value 32.617608
x 35 value 32.524207
x 36 value 32.500257
x 37 value 32.483823
x 38 value 32.635390
x 39 value 32.825470
x 40 value 32.964458
x 41 value 32.953025
x 42 value 32.991316
x 43 value 33.207767
x 44 value 33.375894
x 45 value 33.589909
x 46 value 33.642485
x 47 value 34.038937
x 48 value 34.264211
x 49 value 34.675657
x 50 value 35.017285
x 51 value 35.560137
x 52 value 35.834469
x 53 value 36.460765
x 54 value 37.081419
x 55 value 37.915449
x 56 value 38.781493
x 57 value 39.813806
x 58 value 40.978635
x 59 value 42.642196
x 60 value 44.494277
x 61 value 47.526100
x 62 value 52.331373
x 63 value 61.494206
