L 256 T 2.360000
spin_corr:
x 0 value 1.000000
x 1 value 0.625484
x 2 value 0.466351
x 3 value 0.376330
x 4 value 0.315599
x 5 value 0.270909
x 6 value 0.234777
x 7 value 0.206502
x 8 value 0.183322
x 9 value 0.163183
x 10 value 0.145063
x 11 value 0.130437
x 12 value 0.116585
x 13 value 0.103962
x 14 value 0.093562
x 15 value 0.087006
x 16 value 0.079324
x 17 value 0.072202
x 18 value 0.065701
x 19 value 0.058736
x 20 value 0.052769
x 21 value 0.047863
x 22 value 0.043711
x 23 value 0.041871
x 24 value 0.038202
x 25 value 0.034167
x 26 value 0.031058
x 27 value 0.029372
x 28 value 0.026196
x 29 value 0.023261
x 30 value 0.022125
x 31 value 0.018757
x 32 value 0.018618
x 33 value 0.018691
x 34 value 0.017307
x 35 value 0.017272
x 36 value 0.013397
x 37 value 0.012577
x 38 value 0.013632
x 39 value 0.012089
x 40 value 0.009913
x 41 value 0.009603
x 42 value 0.007224
x 43 value 0.006426
x 44 value 0.006466
x 45 value 0.006252
x 46 value 0.006868
x 47 value 0.006092
x 48 value 0.004138
x 49 value 0.006098
x 50 value 0.003502
x 51 value 0.005088
x 52 value 0.003792
x 53 value 0.004145
x 54 value 0.004828
x 55 value 0.002841
x 56 value 0.003985
x 57 value 0.004004
x 58 value 0.004020
x 59 value 0.003977
x 60 value 0.003344
x 61 value 0.005225
x 62 value 0.004500
x 63 value 0.004140
x 64 value 0.004389
x 65 value 0.003220
x 66 value 0.003940
x 67 value 0.001772
x 68 value 0.002788
x 69 value 0.002923
x 70 value 0.001753
x 71 value 0.002405
x 72 value 0.002995
x 73 value 0.001669
x 74 value 0.001554
x 75 value 0.002326
x 76 value 0.001663
x 77 value 0.002452
x 78 value 0.002433
x 79 value 0.002314
x 80 value 0.001166
x 81 value 0.002235
x 82 value 0.002653
x 83 value 0.003846
x 84 value 0.002192
x 85 value 0.000677
x 86 value 0.003464
x 87 value 0.002819
x 88 value 0.002657
x 89 value 0.001588
x 90 value 0.000712
x 91 value 0.002181
x 92 value 0.001540
x 93 value 0.000285
x 94 value 0.000299
x 95 value -0.000374
x 96 value 0.000330
x 97 value -0.001199
x 98 value -0.001219
x 99 value -0.000385
x 100 value 0.000263
x 101 value 0.001014
x 102 value 0.001502
x 103 value 0.000799
x 104 value 0.002369
x 105 value 0.001484
x 106 value 0.001489
x 107 value 0.002112
x 108 value 0.001503
x 109 value -0.000095
x 110 value -0.001038
x 111 value -0.001809
x 112 value -0.000404
x 113 value -0.000634
x 114 value -0.001456
x 115 value -0.001090
x 116 value -0.002358
x 117 value -0.002335
x 118 value -0.002747
x 119 value -0.002525
x 120 value -0.000979
x 121 value -0.002247
x 122 value -0.001759
x 123 value -0.000598
x 124 value -0.001644
x 125 value -0.002122
x 126 value -0.002023
x 127 value -0.001195
x 128 value -0.001869
x 129 value -0.001619
x 130 value -0.001297
x 131 value -0.001471
x 132 value 0.000096
x 133 value -0.000318
x 134 value -0.001404
x 135 value -0.001263
x 136 value -0.002033
x 137 value -0.000893
x 138 value -0.001608
x 139 value -0.002827
x 140 value -0.002162
x 141 value -0.000836
x 142 value -0.001200
x 143 value -0.001352
x 144 value -0.000659
x 145 value -0.001227
x 146 value -0.000034
x 147 value 0.000870
x 148 value 0.001051
x 149 value 0.001362
x 150 value 0.000982
x 151 value 0.001678
x 152 value 0.002114
x 153 value 0.002849
x 154 value 0.001724
x 155 value 0.000363
x 156 value 0.000766
x 157 value 0.000311
x 158 value -0.000410
x 159 value -0.000570
x 160 value -0.001516
x 161 value 0.000283
x 162 value 0.000868
x 163 value 0.001034
x 164 value 0.000556
x 165 value 0.001041
x 166 value -0.000189
x 167 value 0.001015
x 168 value 0.002573
x 169 value 0.002764
x 170 value 0.002762
x 171 value 0.002571
x 172 value 0.002916
x 173 value 0.002874
x 174 value 0.002140
x 175 value 0.002423
