L 48 T 3.640000
spin_corr:
x 0 value 1000.000000
x 1 value 682.666667
x 2 value 594.083333
x 3 value 536.083333
x 4 value 513.500000
x 5 value 485.666667
x 6 value 472.916667
x 7 value 461.000000
x 8 value 446.833333
x 9 value 446.916667
x 10 value 440.250000
x 11 value 429.666667
x 12 value 424.500000
x 13 value 423.416667
x 14 value 417.083333
x 15 value 417.500000
x 16 value 422.833333
x 17 value 418.750000
x 18 value 417.333333
x 19 value 410.416667
x 20 value 408.666667
x 21 value 399.750000
x 22 value 397.083333
x 23 value 397.750000
x 24 value 400.916667
x 25 value 397.750000
x 26 value 397.083333
x 27 value 399.750000
x 28 value 408.666667
x 29 value 410.416667
x 30 value 417.333333
x 31 value 418.750000
x 32 value 422.833333
x 33 value 417.500000
x 34 value 417.083333
x 35 value 423.416667
x 36 value 424.500000
x 37 value 429.666667
x 38 value 440.250000
x 39 value 446.916667
x 40 value 446.833333
x 41 value 461.000000
x 42 value 472.916667
x 43 value 485.666667
x 44 value 513.500000
x 45 value 536.083333
x 46 value 594.083333
x 47 value 682.666667
