L 48 T 3.642000
spin_corr:
x 0 value 91.818182
x 1 value 61.466773
x 2 value 52.493278
x 3 value 48.075257
x 4 value 45.247832
x 5 value 43.330781
x 6 value 41.568089
x 7 value 40.468321
x 8 value 39.653105
x 9 value 38.783371
x 10 value 38.202063
x 11 value 37.949762
x 12 value 37.388625
x 13 value 37.290331
x 14 value 36.772142
x 15 value 36.504851
x 16 value 36.320117
x 17 value 36.111339
x 18 value 35.807570
x 19 value 35.624724
x 20 value 35.673511
x 21 value 35.652092
x 22 value 35.681655
x 23 value 35.664636
x 24 value 35.510017
x 25 value 35.664767
x 26 value 35.681636
x 27 value 35.651444
x 28 value 35.672880
x 29 value 35.624504
x 30 value 35.807257
x 31 value 36.111963
x 32 value 36.319673
x 33 value 36.505053
x 34 value 36.772313
x 35 value 37.289694
x 36 value 37.388686
x 37 value 37.949411
x 38 value 38.202002
x 39 value 38.783404
x 40 value 39.652474
x 41 value 40.468035
x 42 value 41.568935
x 43 value 43.331101
x 44 value 45.247766
x 45 value 48.076490
x 46 value 52.494143
x 47 value 61.466767
