L 32 T 3.645000
spin_corr:
x 0 value 91.818182
x 1 value 61.139308
x 2 value 52.366338
x 3 value 47.931927
x 4 value 45.259094
x 5 value 43.547786
x 6 value 42.074818
x 7 value 41.315938
x 8 value 40.263484
x 9 value 39.656726
x 10 value 38.832436
x 11 value 38.632269
x 12 value 38.362160
x 13 value 38.441397
x 14 value 38.390733
x 15 value 38.218990
x 16 value 38.320298
x 17 value 38.218454
x 18 value 38.391069
x 19 value 38.441800
x 20 value 38.362312
x 21 value 38.632455
x 22 value 38.830945
x 23 value 39.656566
x 24 value 40.264664
x 25 value 41.316912
x 26 value 42.073708
x 27 value 43.548181
x 28 value 45.258976
x 29 value 47.932134
x 30 value 52.366909
x 31 value 61.139280
