L 48 T 3.636000
spin_corr:
x 0 value 1000.000000
x 1 value 671.666667
x 2 value 570.750000
x 3 value 521.000000
x 4 value 491.916667
x 5 value 473.500000
x 6 value 456.583333
x 7 value 448.583333
x 8 value 437.583333
x 9 value 433.083333
x 10 value 429.583333
x 11 value 426.666667
x 12 value 425.833333
x 13 value 417.583333
x 14 value 417.583333
x 15 value 414.583333
x 16 value 423.166667
x 17 value 425.916667
x 18 value 417.000000
x 19 value 408.250000
x 20 value 401.416667
x 21 value 399.166667
x 22 value 402.833333
x 23 value 407.083333
x 24 value 406.750000
x 25 value 407.083333
x 26 value 402.833333
x 27 value 399.166667
x 28 value 401.416667
x 29 value 408.250000
x 30 value 417.000000
x 31 value 425.916667
x 32 value 423.166667
x 33 value 414.583333
x 34 value 417.583333
x 35 value 417.583333
x 36 value 425.833333
x 37 value 426.666667
x 38 value 429.583333
x 39 value 433.083333
x 40 value 437.583333
x 41 value 448.583333
x 42 value 456.583333
x 43 value 473.500000
x 44 value 491.916667
x 45 value 521.000000
x 46 value 570.750000
x 47 value 671.666667
