L 32 T 3.600000
spin_corr:
x 0 value 91.818182
x 1 value 64.315135
x 2 value 56.562176
x 3 value 52.890116
x 4 value 50.840117
x 5 value 49.537049
x 6 value 48.698379
x 7 value 48.005820
x 8 value 47.408646
x 9 value 47.222573
x 10 value 46.972491
x 11 value 46.451314
x 12 value 46.325709
x 13 value 46.081591
x 14 value 45.924533
x 15 value 45.972733
x 16 value 46.153829
x 17 value 45.972927
x 18 value 45.923623
x 19 value 46.082356
x 20 value 46.325190
x 21 value 46.451338
x 22 value 46.973718
x 23 value 47.222475
x 24 value 47.408736
x 25 value 48.004934
x 26 value 48.699201
x 27 value 49.536425
x 28 value 50.839785
x 29 value 52.888580
x 30 value 56.561130
x 31 value 64.315574
