L 96 T 3.610000
spin_corr:
x 0 value 91.818182
x 1 value 63.543935
x 2 value 55.471025
x 3 value 51.622156
x 4 value 49.325790
x 5 value 47.701228
x 6 value 46.520320
x 7 value 45.683893
x 8 value 44.856660
x 9 value 44.349060
x 10 value 43.863325
x 11 value 43.466475
x 12 value 43.221039
x 13 value 42.761567
x 14 value 42.474023
x 15 value 42.299740
x 16 value 42.177924
x 17 value 41.981727
x 18 value 41.812895
x 19 value 41.521352
x 20 value 41.384867
x 21 value 41.200682
x 22 value 41.249870
x 23 value 41.185952
x 24 value 41.161976
x 25 value 41.188528
x 26 value 41.106110
x 27 value 41.045150
x 28 value 40.986772
x 29 value 40.921402
x 30 value 40.840173
x 31 value 40.830346
x 32 value 40.853124
x 33 value 40.833328
x 34 value 40.846190
x 35 value 40.825527
x 36 value 40.849409
x 37 value 40.792755
x 38 value 40.858816
x 39 value 40.744519
x 40 value 40.695423
x 41 value 40.739752
x 42 value 40.702614
x 43 value 40.694214
x 44 value 40.710011
x 45 value 40.498780
x 46 value 40.580918
x 47 value 40.656700
x 48 value 40.663626
x 49 value 40.656717
x 50 value 40.580858
x 51 value 40.499209
x 52 value 40.709825
x 53 value 40.694100
x 54 value 40.702973
x 55 value 40.739709
x 56 value 40.694875
x 57 value 40.744505
x 58 value 40.858547
x 59 value 40.792373
x 60 value 40.849479
x 61 value 40.825918
x 62 value 40.845805
x 63 value 40.832696
x 64 value 40.852849
x 65 value 40.829924
x 66 value 40.840029
x 67 value 40.921899
x 68 value 40.987528
x 69 value 41.045213
x 70 value 41.106552
x 71 value 41.188698
x 72 value 41.161714
x 73 value 41.185933
x 74 value 41.250197
x 75 value 41.200794
x 76 value 41.385039
x 77 value 41.521186
x 78 value 41.812499
x 79 value 41.981781
x 80 value 42.178357
x 81 value 42.300026
x 82 value 42.473879
x 83 value 42.761511
x 84 value 43.221276
x 85 value 43.466534
x 86 value 43.862734
x 87 value 44.349050
x 88 value 44.856361
x 89 value 45.683362
x 90 value 46.520750
x 91 value 47.700716
x 92 value 49.326401
x 93 value 51.622507
x 94 value 55.471080
x 95 value 63.544448
