L 32 T 3.720000
spin_corr:
x 0 value 1000.000000
x 1 value 590.125000
x 2 value 450.125000
x 3 value 370.375000
x 4 value 327.250000
x 5 value 296.375000
x 6 value 265.250000
x 7 value 253.250000
x 8 value 249.750000
x 9 value 238.375000
x 10 value 226.625000
x 11 value 223.000000
x 12 value 212.000000
x 13 value 204.250000
x 14 value 201.750000
x 15 value 218.750000
x 16 value 228.625000
x 17 value 218.750000
x 18 value 201.750000
x 19 value 204.250000
x 20 value 212.000000
x 21 value 223.000000
x 22 value 226.625000
x 23 value 238.375000
x 24 value 249.750000
x 25 value 253.250000
x 26 value 265.250000
x 27 value 296.375000
x 28 value 327.250000
x 29 value 370.375000
x 30 value 450.125000
x 31 value 590.125000
