L 48 T 3.647000
spin_corr:
x 0 value 91.818182
x 1 value 61.706024
x 2 value 52.277670
x 3 value 47.483917
x 4 value 44.468510
x 5 value 42.260864
x 6 value 40.450380
x 7 value 39.155589
x 8 value 38.193608
x 9 value 37.227832
x 10 value 36.382062
x 11 value 35.952358
x 12 value 35.357898
x 13 value 34.969284
x 14 value 34.739428
x 15 value 34.601436
x 16 value 34.398342
x 17 value 34.111016
x 18 value 33.862131
x 19 value 33.906683
x 20 value 33.916627
x 21 value 33.692119
x 22 value 33.736414
x 23 value 33.816457
x 24 value 33.602444
x 25 value 33.816694
x 26 value 33.735660
x 27 value 33.692293
x 28 value 33.916173
x 29 value 33.906124
x 30 value 33.862356
x 31 value 34.111006
x 32 value 34.398102
x 33 value 34.601737
x 34 value 34.738557
x 35 value 34.969435
x 36 value 35.358304
x 37 value 35.952338
x 38 value 36.382225
x 39 value 37.227588
x 40 value 38.193223
x 41 value 39.156458
x 42 value 40.452032
x 43 value 42.260171
x 44 value 44.468350
x 45 value 47.483680
x 46 value 52.277947
x 47 value 61.705835
