L 32 T 3.637000
spin_corr:
x 0 value 91.818182
x 1 value 62.771994
x 2 value 53.352634
x 3 value 49.182397
x 4 value 46.317896
x 5 value 44.848901
x 6 value 43.679246
x 7 value 42.629622
x 8 value 42.055408
x 9 value 41.425184
x 10 value 41.227730
x 11 value 41.008700
x 12 value 40.874183
x 13 value 40.404936
x 14 value 40.278796
x 15 value 40.331810
x 16 value 40.244336
x 17 value 40.330870
x 18 value 40.277795
x 19 value 40.404195
x 20 value 40.873509
x 21 value 41.008289
x 22 value 41.227640
x 23 value 41.425176
x 24 value 42.055851
x 25 value 42.630519
x 26 value 43.678861
x 27 value 44.849529
x 28 value 46.317918
x 29 value 49.182713
x 30 value 53.352323
x 31 value 62.772451
