L 128 T 3.650000
spin_corr:
x 0 value 91.818182
x 1 value 61.050557
x 2 value 51.243561
x 3 value 46.218582
x 4 value 43.027466
x 5 value 40.832570
x 6 value 38.846760
x 7 value 37.353382
x 8 value 36.037200
x 9 value 34.887280
x 10 value 34.073742
x 11 value 33.136167
x 12 value 32.483981
x 13 value 31.914111
x 14 value 31.356171
x 15 value 30.886104
x 16 value 30.356951
x 17 value 30.041693
x 18 value 29.578949
x 19 value 29.068479
x 20 value 28.626538
x 21 value 28.114886
x 22 value 27.902198
x 23 value 27.490234
x 24 value 27.157018
x 25 value 26.940869
x 26 value 26.784644
x 27 value 26.469595
x 28 value 26.091165
x 29 value 25.887703
x 30 value 25.738398
x 31 value 25.522159
x 32 value 25.219943
x 33 value 25.090473
x 34 value 24.978928
x 35 value 24.996050
x 36 value 24.815148
x 37 value 24.693968
x 38 value 24.599195
x 39 value 24.483488
x 40 value 24.520176
x 41 value 24.413000
x 42 value 24.286826
x 43 value 24.083204
x 44 value 24.068413
x 45 value 23.959072
x 46 value 23.819021
x 47 value 23.835685
x 48 value 23.657349
x 49 value 23.604328
x 50 value 23.397678
x 51 value 23.393930
x 52 value 23.409954
x 53 value 23.412200
x 54 value 23.207475
x 55 value 23.153432
x 56 value 23.066479
x 57 value 23.098175
x 58 value 23.097209
x 59 value 23.097102
x 60 value 23.144675
x 61 value 23.092941
x 62 value 23.258769
x 63 value 23.184098
x 64 value 23.374455
x 65 value 23.183495
x 66 value 23.259160
x 67 value 23.093111
x 68 value 23.144876
x 69 value 23.097141
x 70 value 23.097284
x 71 value 23.098031
x 72 value 23.066824
x 73 value 23.152711
x 74 value 23.207584
x 75 value 23.411942
x 76 value 23.410400
x 77 value 23.393569
x 78 value 23.397346
x 79 value 23.604014
x 80 value 23.657447
x 81 value 23.835956
x 82 value 23.818980
x 83 value 23.958637
x 84 value 24.068359
x 85 value 24.083240
x 86 value 24.286749
x 87 value 24.412961
x 88 value 24.520113
x 89 value 24.483329
x 90 value 24.599712
x 91 value 24.693909
x 92 value 24.815318
x 93 value 24.996068
x 94 value 24.979075
x 95 value 25.090820
x 96 value 25.220158
x 97 value 25.522622
x 98 value 25.738267
x 99 value 25.887593
x 100 value 26.091457
x 101 value 26.470054
x 102 value 26.784224
x 103 value 26.941047
x 104 value 27.156763
x 105 value 27.490163
x 106 value 27.902252
x 107 value 28.114850
x 108 value 28.626956
x 109 value 29.069059
x 110 value 29.578674
x 111 value 30.041906
x 112 value 30.356928
x 113 value 30.886268
x 114 value 31.356277
x 115 value 31.914533
x 116 value 32.483969
x 117 value 33.136154
x 118 value 34.073493
x 119 value 34.887021
x 120 value 36.037288
x 121 value 37.353764
x 122 value 38.846289
x 123 value 40.832628
x 124 value 43.028219
x 125 value 46.218696
x 126 value 51.243295
x 127 value 61.050923
