L 48 T 3.560000
spin_corr:
x 0 value 91.818182
x 1 value 66.378841
x 2 value 59.678360
x 3 value 56.705362
x 4 value 55.029281
x 5 value 53.835060
x 6 value 52.972816
x 7 value 52.580330
x 8 value 52.255405
x 9 value 52.029465
x 10 value 51.560919
x 11 value 51.444800
x 12 value 51.272425
x 13 value 51.151127
x 14 value 51.180883
x 15 value 51.124282
x 16 value 50.993020
x 17 value 50.906504
x 18 value 50.767747
x 19 value 50.885772
x 20 value 50.844091
x 21 value 50.690467
x 22 value 50.756751
x 23 value 50.786598
x 24 value 50.803177
x 25 value 50.787114
x 26 value 50.757212
x 27 value 50.690350
x 28 value 50.843916
x 29 value 50.885491
x 30 value 50.766768
x 31 value 50.906817
x 32 value 50.992724
x 33 value 51.123952
x 34 value 51.180362
x 35 value 51.150713
x 36 value 51.273215
x 37 value 51.444935
x 38 value 51.560638
x 39 value 52.030120
x 40 value 52.255031
x 41 value 52.580020
x 42 value 52.971704
x 43 value 53.835001
x 44 value 55.029899
x 45 value 56.705609
x 46 value 59.678818
x 47 value 66.378624
