L 48 T 3.643000
spin_corr:
x 0 value 91.818182
x 1 value 62.108688
x 2 value 52.813525
x 3 value 48.249265
x 4 value 45.338504
x 5 value 43.060451
x 6 value 41.607044
x 7 value 40.564087
x 8 value 39.640931
x 9 value 38.996479
x 10 value 38.416450
x 11 value 38.023013
x 12 value 37.546366
x 13 value 37.159579
x 14 value 36.817696
x 15 value 36.555823
x 16 value 36.296206
x 17 value 35.982635
x 18 value 35.631973
x 19 value 35.586349
x 20 value 35.457393
x 21 value 35.512688
x 22 value 35.359142
x 23 value 35.270049
x 24 value 35.146300
x 25 value 35.269997
x 26 value 35.359809
x 27 value 35.512728
x 28 value 35.457016
x 29 value 35.587283
x 30 value 35.631388
x 31 value 35.982282
x 32 value 36.296444
x 33 value 36.555308
x 34 value 36.817446
x 35 value 37.159947
x 36 value 37.546194
x 37 value 38.022705
x 38 value 38.416749
x 39 value 38.996301
x 40 value 39.639852
x 41 value 40.563812
x 42 value 41.607800
x 43 value 43.060459
x 44 value 45.338428
x 45 value 48.250228
x 46 value 52.814040
x 47 value 62.108672
