L 48 T 3.740000
spin_corr:
x 0 value 91.818182
x 1 value 55.415660
x 2 value 43.116275
x 3 value 36.123025
x 4 value 31.921767
x 5 value 28.580760
x 6 value 25.754419
x 7 value 23.514997
x 8 value 21.457490
x 9 value 20.071187
x 10 value 18.815543
x 11 value 18.114883
x 12 value 17.125922
x 13 value 16.142374
x 14 value 15.144225
x 15 value 14.407444
x 16 value 13.922328
x 17 value 13.402313
x 18 value 13.383260
x 19 value 13.127296
x 20 value 12.729059
x 21 value 12.416421
x 22 value 12.632683
x 23 value 12.436825
x 24 value 12.523674
x 25 value 12.436948
x 26 value 12.632632
x 27 value 12.416492
x 28 value 12.728911
x 29 value 13.127101
x 30 value 13.383220
x 31 value 13.401678
x 32 value 13.921876
x 33 value 14.407346
x 34 value 15.144398
x 35 value 16.142386
x 36 value 17.126385
x 37 value 18.114805
x 38 value 18.815353
x 39 value 20.070857
x 40 value 21.457622
x 41 value 23.515403
x 42 value 25.754227
x 43 value 28.579905
x 44 value 31.921597
x 45 value 36.123284
x 46 value 43.116483
x 47 value 55.415882
