L 32 T 3.750000
spin_corr:
x 0 value 1000.000000
x 1 value 615.500000
x 2 value 492.250000
x 3 value 423.250000
x 4 value 366.250000
x 5 value 328.000000
x 6 value 303.375000
x 7 value 283.125000
x 8 value 269.125000
x 9 value 249.000000
x 10 value 243.250000
x 11 value 253.125000
x 12 value 262.125000
x 13 value 260.750000
x 14 value 267.375000
x 15 value 256.625000
x 16 value 248.875000
x 17 value 256.625000
x 18 value 267.375000
x 19 value 260.750000
x 20 value 262.125000
x 21 value 253.125000
x 22 value 243.250000
x 23 value 249.000000
x 24 value 269.125000
x 25 value 283.125000
x 26 value 303.375000
x 27 value 328.000000
x 28 value 366.250000
x 29 value 423.250000
x 30 value 492.250000
x 31 value 615.500000
